Population	Exposed	Symptomatic	Asymptomatic	Death	Recovered	MinutesPassed
100000	2	0	0	0	0	435,3275
100000	2	0	0	0	0	439,3275
100000	2	0	0	0	0	443,3275
100000	2	0	0	0	0	447,3275
100000	2	0	0	0	0	451,3275
100000	2	0	0	0	0	455,3275
100000	2	0	0	0	0	459,3275
100000	2	0	0	0	0	463,3275
100000	2	0	0	0	0	467,3275
100000	2	0	0	0	0	471,3275
100000	2	0	0	0	0	475,3275
100000	2	0	0	0	0	479,3275
100000	2	0	0	0	0	483,3275
100000	2	0	0	0	0	487,3275
100000	2	0	0	0	0	491,3275
100000	2	0	0	0	0	495,3275
100000	2	0	0	0	0	499,3275
100000	2	0	0	0	0	503,3275
100000	2	0	0	0	0	507,3275
100000	2	0	0	0	0	511,3275
100000	2	0	0	0	0	515,2195
100000	2	0	0	0	0	519,2195
100000	2	0	0	0	0	523,2195
100000	2	0	0	0	0	527,2195
100000	2	0	0	0	0	531,2195
100000	2	0	0	0	0	535,2195
100000	2	0	0	0	0	539,2195
100000	2	0	0	0	0	543,2195
100000	2	0	0	0	0	547,2195
100000	2	0	0	0	0	551,2195
100000	2	0	0	0	0	555,2195
100000	2	0	0	0	0	559,2195
100000	2	0	0	0	0	563,2195
100000	2	0	0	0	0	567,2195
100000	2	0	0	0	0	571,2195
100000	2	0	0	0	0	575,2195
100000	2	0	0	0	0	579,2195
100000	2	0	0	0	0	583,2195
100000	2	0	0	0	0	587,2195
100000	2	0	0	0	0	590,6524
100000	2	0	0	0	0	594,6524
100000	2	0	0	0	0	598,6524
100000	2	0	0	0	0	600,9824
100000	2	0	0	0	0	604,9824
100000	2	0	0	0	0	608,9824
100000	2	0	0	0	0	611,4644
100000	2	0	0	0	0	615,4644
100000	2	0	0	0	0	618,7664
100000	2	0	0	0	0	622,7664
100000	2	0	0	0	0	625,3832
100000	2	0	0	0	0	629,3832
100000	2	0	0	0	0	633,3832
100000	2	0	0	0	0	637,3832
100000	2	0	0	0	0	641,3832
100000	2	0	0	0	0	645,3832
100000	2	0	0	0	0	649,3832
100000	2	0	0	0	0	653,3832
100000	2	0	0	0	0	657,3832
100000	2	0	0	0	0	661,3832
100000	2	0	0	0	0	665,3832
100000	2	0	0	0	0	669,3832
100000	2	0	0	0	0	673,3832
100000	2	0	0	0	0	677,3832
100000	2	0	0	0	0	681,3832
100000	2	0	0	0	0	685,3832
100000	2	0	0	0	0	689,3832
100000	2	0	0	0	0	693,3832
100000	2	0	0	0	0	697,3832
100000	2	0	0	0	0	701,3832
100000	2	0	0	0	0	705,3832
100000	2	0	0	0	0	709,3832
100000	2	0	0	0	0	713,3832
100000	2	0	0	0	0	717,3832
100000	2	0	0	0	0	721,3832
